,,,-200.00000298E-3,-40.00000283E-3,,,,,-200.00000298E-3,0.0,,,,,-200.00000298E-3,-80.000005662E-3,,,,,-200.00000298E-3,0.0,
,,,-199.92320240E-3,40.00000283E-3,,,,,-199.92320240E-3,0.0,,,,,-199.92320240E-3,80.000005662E-3,,,,,-199.92320240E-3,0.0,
,,,-199.84638691E-3,-40.00000283E-3,,,,,-199.84638691E-3,0.0,,,,,-199.84638691E-3,-80.000005662E-3,,,,,-199.84638691E-3,80.000005662E-3,
,,,-199.76958632E-3,40.00000283E-3,,,,,-199.76958632E-3,0.0,,,,,-199.76958632E-3,80.000005662E-3,,,,,-199.76958632E-3,0.0,
,,,-199.69278574E-3,-40.00000283E-3,,,,,-199.69278574E-3,0.0,,,,,-199.69278574E-3,-80.000005662E-3,,,,,-199.69278574E-3,0.0,
,,,-199.61598516E-3,40.00000283E-3,,,,,-199.61598516E-3,0.0,,,,,-199.61598516E-3,80.000005662E-3,,,,,-199.61598516E-3,-80.000005662E-3,
,,,-199.53916967E-3,-40.00000283E-3,,,,,-199.53916967E-3,0.0,,,,,-199.53916967E-3,-80.000005662E-3,,,,,-199.53916967E-3,0.0,
,,,-199.46236908E-3,40.00000283E-3,,,,,-199.46236908E-3,0.0,,,,,-199.46236908E-3,80.000005662E-3,,,,,-199.46236908E-3,0.0,
,,,-199.38556850E-3,-40.00000283E-3,,,,,-199.38556850E-3,0.0,,,,,-199.38556850E-3,-80.000005662E-3,,,,,-199.38556850E-3,0.0,
,,,-199.30875301E-3,40.00000283E-3,,,,,-199.30875301E-3,0.0,,,,,-199.30875301E-3,80.000005662E-3,,,,,-199.30875301E-3,0.0,
,,,-199.23195243E-3,-40.00000283E-3,,,,,-199.23195243E-3,0.0,,,,,-199.23195243E-3,-80.000005662E-3,,,,,-199.23195243E-3,0.0,
,,,-199.15515184E-3,40.00000283E-3,,,,,-199.15515184E-3,0.0,,,,,-199.15515184E-3,80.000005662E-3,,,,,-199.15515184E-3,0.0,
,,,-199.07835126E-3,-40.00000283E-3,,,,,-199.07835126E-3,0.0,,,,,-199.07835126E-3,-80.000005662E-3,,,,,-199.07835126E-3,0.0,
